title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Pepperoni Casserole,https://www.allrecipes.com/recipe/53514/pepperoni-casserole/,8,15m,40m,55m,1 (16 ounce) package uncooked rotini pasta | 1 pound ground Italian sausage | 1 (16 ounce) jar pasta sauce | 2 (12 ounce) containers cottage cheese | 1 (2.25 ounce) can sliced black olives | 12 ounces shredded mozzarella cheese | 2 (3 ounce) packages sliced pepperoni,"2. Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch casserole dish. | 3. Bring a large pot of lightly salted water to a boil. Place pasta in the pot, cook for 8 to 10 minutes, until al dente, and drain. | 4. Cook sausage in a skillet over medium heat until evenly browned. | 5. Combine cooked pasta, sausage, and pasta sauce in the prepared casserole dish. Mix cottage cheese, olives, and mozzarella cheese in a bowl; spoon over sausage and pasta mixture. Top with pepperoni slices. | 6. Bake in the preheated oven until bubbly and lightly browned on top, about 25 to 30 minutes.",694kcal,34g,14g,86mg,1732mg,54g,4g,8g,41g,1mg,426mg,4mg,507mg
Easy Chicken Fajita Marinade,https://www.allrecipes.com/recipe/231174/easy-chicken-fajita-marinade/,10,15m,20m,4h 35m,"0.5 cup vegetable oil | 2 tablespoons chili powder | 2 tablespoons lime juice | 2 tablespoons honey | 2 tablespoons garlic powder | 0.5 teaspoon paprika | 0.5 teaspoon ground black pepper | 3 pounds skinless, boneless chicken breasts, cut into strips","2. Gather the ingredients. | 3. Whisk vegetable oil, chili powder, lime juice, honey, garlic powder, paprika, and black pepper together in a medium bowl until well combined. | 4. Place chicken strips in a large resealable plastic bag. Pour in marinade and knead to coat; squeeze out excess air, seal bag, and marinate in the refrigerator for 4 hours to overnight. | 5. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove chicken strips from marinade; discard any unused marinade. | 6. Cook chicken on the preheated grill until browned on all sides and chicken is no longer pink in the center, about 10 minutes per side. An instant-read meat thermometer inserted into the thickest piece should read at least 160 degrees F (70 degrees C).",260kcal,14g,2g,70mg,74mg,6g,1g,4g,27g,2mg,19mg,1mg,229mg
Easy Three-Ingredient Gluten-Free German Christmas Coconut Cookies,https://www.allrecipes.com/recipe/260303/easy-three-ingredient-gluten-free-german-christmas-coconut-cookies/,45,25m,15m,40m,4 egg whites | 1 cup white sugar | 2 cups unsweetened coconut flakes,"2. Preheat oven to 300 degrees F (150 degrees C). Line 2 baking sheets with parchment paper. | 3. Beat egg whites in a glass, metal, or ceramic bowl until stiff peaks form. Gradually add sugar, 1 tablespoon at a time, and continue beating. Fold in coconut flakes with a spatula. | 4. Use 2 teaspoons to place little mounds of coconut mixture 2 inches apart onto the baking sheets. | 5. Bake in the preheated oven until lightly browned, 15 to 20 minutes, depending on the size of the cookies. Allow to cool on baking sheet for a few minutes, then carefully transfer onto a wire rack to cool completely.",46kcal,3g,2g,not provided,7mg,5g,1g,5g,1g,0mg,1mg,0mg,27mg
Chicken Biryani,https://www.allrecipes.com/recipe/16102/chicken-biryani/,6,30m,1h 20m,1h 50m,"4 tablespoons vegetable oil, divided | 4 small potatoes, peeled and halved | 2 large onions, finely chopped | 2 cloves garlic, minced | 1 tablespoon minced fresh ginger root | 2 medium tomatoes, peeled and chopped | 1 teaspoon salt | 1 teaspoon ground cumin | 0.5 teaspoon chili powder | 0.5 teaspoon ground black pepper | 0.5 teaspoon ground turmeric | 2 tablespoons plain yogurt | 2 tablespoons chopped fresh mint leaves | 0.5 teaspoon ground cardamom | 1 (2 inch) piece cinnamon stick | 3 pounds boneless, skinless chicken pieces cut into chunks | 1 pound basmati rice | 2.5 tablespoons vegetable oil | 1 large onion, diced | 5 pods cardamom | 3 whole cloves | 1 (1 inch) piece cinnamon stick | 0.5 teaspoon ground ginger | 1 pinch powdered saffron | 4 cups chicken stock | 1.5 teaspoons salt","2. Gather all ingredients. | 3. Heat 2 tablespoons of oil in a large skillet. Fry potatoes in hot oil until lightly browned, about 3 to 5 minutes. Remove to a paper towel-lined plate to drain; set aside. | 4. Add remaining 2 tablespoons of oil to the skillet. Add onions, garlic, and fresh ginger; cook and stir until onion is soft and golden. Add tomatoes, salt, cumin, chili powder, pepper, and turmeric; cook, stirring constantly, for 5 minutes. | 5. Stir in yogurt, mint, ground cardamom, and cinnamon stick. Cover and cook over low heat, stirring occasionally, until tomatoes are cooked to a pulp. It may be necessary to add a little hot water if mixture becomes too dry and starts to stick to the pan. | 6. Add chicken and stir well to coat. Cover and cook over very low heat until chicken is tender, 35 to 45 minutes. There should only be a little very thick gravy left when chicken is finished cooking. If necessary cook uncovered for a few minutes to reduce the gravy. | 7. Meanwhile, make the rice: Wash rice well and drain in a colander for at least 30 minutes. | 8. Heat oil in a large skillet. Add onion; cook and stir until golden. Add cardamom pods, cloves, cinnamon stick, ground ginger, and saffron; stir in rice until coated with spices. | 9. Heat stock and salt in a medium pot until hot; pour over rice and stir well. | 10. Add chicken mixture and potatoes; stir gently to combine. Bring to a boil. | 11. Reduce heat to very low, cover with a tight-fitting lid, and steam for 20 minutes without lifting the lid or stirring. | 12. Spoon biryani onto a warm serving dish.",832kcal,35g,8g,134mg,1522mg,79g,5g,5g,48g,29mg,73mg,4mg,1021mg
Best Homemade Marzipan,https://www.allrecipes.com/recipe/261583/german-homemade-marzipan/,12,10m,not provided,10m,"1.75 cups whole almonds | 1.25 cups confectioners' sugar, or more as needed | water as needed | 3 drops almond extract","2. Place almonds in a heat-proof bowl and cover with boiling water. Let stand for a few minutes until cool enough to handle. | 3. Slip almonds out of their skins one by one, leaving the remaining almonds in the warm water. Drain almonds in a colander. | 4. Place almonds and confectioners&#39; sugar in a food processor fitted with a metal blade and process to a paste. Add cold water, 1/2 to 1 teaspoon at a time, if the paste is too dry. Scrape the sides a few times to ensure even processing. Add a few drops of almond extract towards the end of the process. Process marzipan until it is smooth and no longer grainy. | 5. Wrap marzipan in plastic wrap and store in a cool, dry place.",171kcal,11g,1g,not provided,0mg,17g,2g,14g,4g,not provided,52mg,1mg,151mg
Karioka Sweet Rice Balls,https://www.allrecipes.com/recipe/241708/karioka-sweet-rice-balls/,5,10m,10m,30m,1 cup rice flour | 1 cup shredded coconut | 0.75 cup coconut milk | 2 cups vegetable oil for frying | 0.5 cup coconut milk | 0.25 cup brown sugar,"2. Mix rice flour, shredded coconut, and 3/4 cup coconut milk together in a bowl until dough is well mixed. Form dough into balls, about 1 tablespoon per ball. | 3. Heat oil in a pot over medium heat. | 4. Fry dough balls in the hot oil until lightly browned, about 5 minutes. Remove pot from heat and transfer balls to a paper towel-lined plate. | 5. Pour 1/2 cup coconut milk into a saucepan; bring to a boil. Stir brown sugar into hot coconut milk until liquid thickens, 2 to 3 minutes more. Remove saucepan from heat, cool coconut coating slightly, and dip balls into coating. Cool slightly before serving.",414kcal,25g,16g,not provided,53mg,45g,3g,16g,4g,1mg,24mg,2mg,216mg
Christmas Stollen,https://www.allrecipes.com/recipe/17160/christmas-stollen/,15,30m,40m,2h 50m,"0.66666668653488 cup warm milk (110 degrees F/45 degrees C) | 1 tablespoon active dry yeast | 2.5 cups bread flour | 0.33333334326744 cup white sugar | 0.33333334326744 cup butter, softened | 1 large egg | 0.5 tablespoon salt | 0.66666668653488 cup diced candied citron | 0.33333334326744 cup currants | 0.33333334326744 cup golden raisins | 0.33333334326744 cup red candied cherries, quartered | 6 ounces marzipan | 1 tablespoon confectioners' sugar | 0.25 teaspoon ground cinnamon","2. Gather all ingredients. | 3. Place warm milk and yeast in a bowl. Let stand until creamy, about 10 minutes. | 4. Place yeast mixture, 2 cups bread flour, white sugar, butter, egg, and salt in a large mixing bowl; stir well to combine. Add remaining flour, 1/4 cup at a time, stirring well after each addition. | 5. When dough has pulled together, turn it out onto a lightly floured surface; knead in candied citron, currants, golden raisins, and cherries. Continue kneading until smooth, about 8 minutes. | 6. Lightly oil a large bowl, place the dough in the bowl, and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 1 hour. | 7. Lightly grease a baking sheet. Deflate dough and turn it out onto a lightly floured surface. Roll marzipan into a rope and place in the center of the dough. | 8. Fold dough over to cover it; pinch the seams together to seal. Place the loaf, seam-side down, on the prepared baking sheet. | 9. Cover with a damp cloth and let rise until doubled in volume, about 40 minutes. | 10. Preheat the oven to 350 degrees F (175 degrees C). Bake stollen in the preheated oven for 10 minutes, then reduce heat to 300 degrees F (150 degrees C) and bake for a further 30 to 40 minutes, or until golden brown and the bottom of the loaf sounds hollow when tapped. | 11. Let cool on a wire rack, then dust with confectioners&#39; sugar and sprinkle with cinnamon.",178kcal,7g,3g,24mg,307mg,29g,1g,18g,2g,not provided,not provided,not provided,not provided
Lumpia in the Air Fryer,https://www.allrecipes.com/recipe/270708/lumpia-in-the-air-fryer/,16,15m,30m,45m,"1 pound Italian hot sausage links | 0.5 cup finely sliced green onions | 0.5 cup finely chopped carrots | 0.5 cup finely chopped water chestnuts | 0.25 cup diced onions | 2 cloves garlic, minced | 2 tablespoons soy sauce | 0.5 teaspoon salt | 0.25 teaspoon ground ginger | 16 spring roll wrappers | avocado oil cooking spray","2. Remove casing from sausage and cook in a skillet over medium heat until slightly browned, 4 to 5 minutes. Add green onions, carrots, water chestnuts, and onion. Cook and stir until onions are soft and translucent, 5 to 7 minutes. Add garlic and cook for 1 to 2 minutes. Season with soy sauce, salt, and ginger. Stir until filling is well combined; remove from heat. | 3. Lay a spring roll wrapper at an angle. Place a scant 1/4 cup filling in the center of the wrapper. Fold bottom corner over filling and tuck in the sides to form a roll. Use your finger to lightly moisten edges with water. Repeat with remaining wrappers and filling. Mist each roll with avocado oil cooking spray. | 4. Preheat an air fryer to 390 degrees F (198 degrees C). | 5. Place lumpia rolls in the air fryer basket, making sure they are not touching; cook in batches if necessary. Fry for 4 minutes; flip and cook until skins are crispy, about 4 minutes more.",98kcal,6g,2g,12mg,471mg,7g,1g,1g,5g,1mg,14mg,1mg,103mg
Ube-Macapuno Cake,https://www.allrecipes.com/recipe/51518/ube-macapuno-cake/,12,30m,30m,1h 0m,"2.5 cups cake flour | 3 teaspoons baking powder | 1 teaspoon salt | 1 cup ube (purple yam), cooked and finely grated | 0.75 cup milk | 1 teaspoon vanilla extract | 7 egg yolks, lightly beaten | 0.5 cup corn syrup | 0.5 cup vegetable oil | 7 egg whites | 1 teaspoon cream of tartar | 1 cup white sugar | 6 drops red food color | 6 drops blue food coloring | 1 (12 ounce) jar macapuno (coconut preserves) | 1 cup evaporated milk, chilled | 0.75 cup white sugar | 1 cup butter, softened | 1 drop violet food coloring","2. Preheat the oven to 325 degrees F (165 degrees C). Line the bottom of three 9-inch round pans with parchment paper, but do not grease. | 3. Make the ube cake: Mix flour, baking powder, and salt together in a large bowl; set aside. Place grated ube in a large bowl. Combine 3/4 cup milk and 1 teaspoon vanilla; gradually blend into ube until smooth. Blend in egg yolks, corn syrup, and oil. Beat in flour mixture until smooth; set aside. | 4. Combine egg whites and cream of tartar in a large bowl; beat with an electric mixer until foamy. Gradually add sugar, then red and blue food coloring, continuing to beat until stiff peaks form. Fold 1/3 of the whites into batter, then quickly fold in remaining whites until no streaks remain. Pour batter into prepared pans. | 5. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 30 to 35 minutes. Invert pans on a wire rack and let cool upside down. When cool, run a knife around the edges to loosen cake from the pans. Spread coconut preserves onto the cooled cake layers; stack layers on a cake stand or serving plate. | 6. Make the buttercream: Combine evaporated milk and 3/4 cup sugar; set aside. Combine butter and sugar in a large bowl; beat with an electric mixer until smooth and creamy. Beat in food coloring, one drop at a time, until the desired tint is achieved. Frost top and sides of cake with buttercream.",714kcal,44g,13g,168mg,469mg,75g,1g,36g,12g,0mg,232mg,4mg,266mg
Beef Nilaga,https://www.allrecipes.com/recipe/212912/beef-nilaga/,5,30m,1h 40m,2h 10m,"4.5 pounds beef short ribs | 1 quart water | 2 onions, chopped | 1 tablespoon black peppercorns, crushed | 2 beef bouillon cubes | 2 potatoes, quartered | 1 chayote squash, peeled and quartered | 2 carrots, cut in chunks | 2 stalks celery, quartered | salt to taste | 0.25 head cabbage, cut into wedges","2. Place short ribs into a large pot with enough water to cover. Bring to a boil over high heat, then boil for 5 minutes; the ribs will not be fully cooked. Drain and discard cooking water. | 3. Return ribs to the pot. Pour in 1 quart water, then add onions, peppercorns, and bouillon cubes. Bring to a boil, then cover, reduce the heat, and simmer for 1 hour. | 4. Skim any fat floating on the surface. Stir in potatoes, chayote squash, carrots, and celery. Cover and simmer until potatoes are tender, about 20 minutes. Season with salt, then add cabbage and cook for 5 more minutes.",983kcal,75g,32g,168mg,491mg,32g,7g,9g,43g,50mg,108mg,6mg,1182mg
Chef John&#39;s Chinese Scallion Pancakes,https://www.allrecipes.com/recipe/263821/chef-johns-chinese-scallion-pancakes/,8,30m,20m,2h 50m,"2 cups bread flour | 1.5 teaspoons kosher salt | 0.75 cup very hot water | 3 tablespoons vegetable oil | 2 teaspoons sesame oil | 1 tablespoon all-purpose flour | 1 teaspoon all-purpose flour | 1 bunch green onions, mostly green parts, thinly sliced | 1.5 tablespoons vegetable oil, or as needed","2. Combine bread flour and salt in a large bowl. Make a well in the middle and pour in hot water. Mix together with a wooden spoon to form a shaggy dough. | 3. Transfer dough onto a lightly floured work surface. Knead dough until sticky but relatively smooth and elastic, dusting with a minimal amount of flour if needed. Wrap in plastic wrap and let dough rest for 2 hours. | 4. Mix vegetable oil, sesame oil, and flour together in a skillet over medium heat until starting to bubble, about 3 minutes. Cook for 1 minute more. Remove from heat and cool to room temperature. | 5. Unwrap dough and cut in half. Roll out into a tube and press down with your fingers. Use a rolling pin to flatten dough into a rectangular shape about 1/8-inch thick, flipping over and dusting lightly with flour halfway through. | 6. Paint surface of the dough with the oil mixture until just covered, leaving 1 inch of space on the edges. Sprinkle scallions on top. Roll dough up tightly to seal in the scallions, starting with the long side. Pull the opposite edge over the top once you have reached it. | 7. Coil 1 end of the dough inward toward the middle; wrap the opposite end around the coil to finish, tucking the tip under the bottom. Dust the coil with flour and roll dough out into a pancake about 1/4-inch thick. Repeat with remaining dough, oil, and green onions to make the second pancake. | 8. Heat vegetable oil in a cast iron skillet over high heat. Add 1 pancake; lower heat to medium. Cook until crispy and browned, about 4 minutes per side. Repeat with the other pancake. Cut into wedges.",200kcal,9g,2g,not provided,366mg,25g,2g,1g,4g,5mg,26mg,not provided,109mg
