ingredient,disease,effect,reason
rice cereal,cardiovascular disease,negative,"Typically made from refined rice and often contains added sugars, lacking significant fiber."
rice flour,cardiovascular disease,neutral,
rice noodle,cardiovascular disease,neutral,
rice paper wrapper,cardiovascular disease,neutral,
rice soup,cardiovascular disease,neutral,
rice stick noodle,cardiovascular disease,neutral,
rice vermicelli,cardiovascular disease,neutral,
rice vermicelli noodle,cardiovascular disease,neutral,
rice vinegar,cardiovascular disease,neutral,
rice wine,cardiovascular disease,negative,Alcohol consumption is a risk factor for high blood pressure and other cardiovascular issues.
rice wine vinegar,cardiovascular disease,neutral,
rice wrapper,cardiovascular disease,neutral,
ricotta cheese,cardiovascular disease,negative,"Contains saturated fat, which can contribute to elevated LDL cholesterol levels."
rigatoni pasta,cardiovascular disease,neutral,
ripe olive,cardiovascular disease,positive,Source of heart-healthy monounsaturated fats and antioxidants.
roast beef,cardiovascular disease,negative,"Red meat is a source of saturated fat, which can raise LDL cholesterol."
roasted red bell pepper,cardiovascular disease,positive,"Rich in antioxidants, potassium, and vitamins which support heart health."
roasted red pepper,cardiovascular disease,positive,"Rich in antioxidants, potassium, and vitamins which support heart health."
rock salt,cardiovascular disease,very negative,"High sodium intake is a major cause of high blood pressure, a primary risk factor for cardiovascular disease."
rock sugar,cardiovascular disease,negative,"High intake of added sugars contributes to obesity, inflammation, and high triglycerides, all risk factors for heart disease."
rolled oat,cardiovascular disease,positive,"Excellent source of soluble fiber (beta-glucan), which helps lower LDL (bad) cholesterol."
roma plum tomato,cardiovascular disease,positive,"Rich in lycopene, potassium, and antioxidants, which are linked to a lower risk of heart disease."
roma tomato,cardiovascular disease,positive,"Rich in lycopene, potassium, and antioxidants, which are linked to a lower risk of heart disease."
romaine lettuce,cardiovascular disease,positive,"A leafy green low in calories and high in fiber, folate, and antioxidants, which support cardiovascular health."
romaine lettuce leaf,cardiovascular disease,positive,"A leafy green low in calories and high in fiber, folate, and antioxidants, which support cardiovascular health."
romano,cardiovascular disease,negative,"High in both sodium and saturated fat, which can increase blood pressure and LDL cholesterol."
romano cheese,cardiovascular disease,negative,"High in both sodium and saturated fat, which can increase blood pressure and LDL cholesterol."
rose extract,cardiovascular disease,neutral,
rose petal,cardiovascular disease,neutral,
rose petal powder,cardiovascular disease,neutral,
rose water,cardiovascular disease,neutral,
rosemary,cardiovascular disease,positive,Contains antioxidants and anti-inflammatory compounds that may improve circulation and heart health.
rotelle pasta,cardiovascular disease,neutral,
rotini pasta,cardiovascular disease,neutral,
round steak,cardiovascular disease,negative,"Red meat is a source of saturated fat, which can raise LDL cholesterol."
rum,cardiovascular disease,negative,Excessive alcohol consumption is a risk factor for high blood pressure and other cardiovascular issues.
rum cream liqueur,cardiovascular disease,very negative,"Combines alcohol with high amounts of sugar and saturated fat, all of which are detrimental to cardiovascular health."
rum flavored extract,cardiovascular disease,neutral,
rum flavoring,cardiovascular disease,neutral,
rump roast,cardiovascular disease,negative,"Red meat is a source of saturated fat, which can raise LDL cholesterol."
russet potato,cardiovascular disease,neutral,
rutabaga,cardiovascular disease,positive,"Good source of fiber, potassium, and antioxidants, which support blood pressure control and heart health."
rye flake,cardiovascular disease,positive,"A whole grain rich in fiber, which helps lower cholesterol and improve blood sugar control."
rye flour,cardiovascular disease,positive,"Whole grain rye flour is rich in fiber, which helps lower cholesterol and improve blood sugar control."
saffron,cardiovascular disease,positive,Contains antioxidants that may help lower cholesterol and blood pressure.
saffron powder,cardiovascular disease,positive,Contains antioxidants that may help lower cholesterol and blood pressure.
saffron thread,cardiovascular disease,positive,Contains antioxidants that may help lower cholesterol and blood pressure.
sage,cardiovascular disease,positive,Contains antioxidants and anti-inflammatory compounds that may have a beneficial effect on cholesterol levels.
sake,cardiovascular disease,negative,Alcohol consumption is a risk factor for high blood pressure and other cardiovascular issues.
salam leaf,cardiovascular disease,neutral,
salami,cardiovascular disease,very negative,"A processed meat high in sodium, saturated fat, and nitrates, strongly linked to increased risk of heart disease."
salmon,cardiovascular disease,positive,"Rich in omega-3 fatty acids, which can lower blood pressure, reduce triglycerides, and decrease heart disease risk."
salmon fillet,cardiovascular disease,positive,"Rich in omega-3 fatty acids, which can lower blood pressure, reduce triglycerides, and decrease heart disease risk."
salsa,cardiovascular disease,positive,"Typically made from heart-healthy vegetables like tomatoes and onions, but commercial versions can be high in sodium."
salt,cardiovascular disease,very negative,"High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease."
salt beef,cardiovascular disease,very negative,"A processed red meat that is extremely high in sodium and saturated fat, both linked to increased cardiovascular risk."
salt pork,cardiovascular disease,very negative,Cured meat product with very high levels of sodium and saturated fat.
saltine cracker,cardiovascular disease,negative,Made from refined flour and typically high in sodium.
sambal oelek,cardiovascular disease,negative,"While made from chili peppers, it is extremely high in sodium."
sardine,cardiovascular disease,positive,"Excellent source of omega-3 fatty acids, which are highly beneficial for heart health."
sashimi grade tuna,cardiovascular disease,positive,A good source of lean protein and heart-healthy omega-3 fatty acids.
sauce,cardiovascular disease,neutral,
sauerkraut,cardiovascular disease,negative,"While fermented, it is prepared with a large amount of salt, making it very high in sodium."
sausage,cardiovascular disease,very negative,"Processed meat high in saturated fat, sodium, and preservatives, all strongly linked to cardiovascular disease."
sausage casing,cardiovascular disease,neutral,
savory,cardiovascular disease,neutral,
savoy cabbage,cardiovascular disease,positive,"A leafy green vegetable rich in fiber, vitamins, and antioxidants that support heart health."
sazon seasoning,cardiovascular disease,very negative,A commercial seasoning blend that is typically extremely high in sodium.
scallion,cardiovascular disease,positive,"Part of the allium family (like onions), which contains compounds beneficial for heart health."
